timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698973687077,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-1,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687082,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-2,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687093,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-3,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687105,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-4,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687114,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-5,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687124,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-6,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687132,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-7,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687142,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-8,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687152,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-9,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687162,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-10,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687172,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-11,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
